LONGITUD,0DS,1DS,2DS,3DS
45.00,2.40,2.30,2.10,1.90
50.00,3.40,3.10,2.70,2.50
55.00,4.50,4.20,3.80,3.50
60.00,5.90,5.30,5.00,4.50
65.00,7.00,6.50,6.00,5.50
70.00,8.20,7.50,6.80,6.30
75.00,9.10,8.40,7.70,7.00
80.00,10.00,9.20,8.50,7.90
85.00,11.20,10.30,9.50,8.70
90.00,12.50,11.50,10.50,9.70
95.00,13.70,12.50,11.50,10.50
100.00,15.00,13.70,12.60,11.50
105.00,16.50,15.00,14.00,12.70
110.00,18.30,16.60,15.50,14.00
