LONGITUD,0DS,1DS,2DS,3DS
65.00,7.30,6.60,6.00,5.60
70.00,8.30,7.50,7.00,6.50
75.00,9.30,8.50,7.80,7.20
80.00,10.20,9.50,8.40,8.00
85.00,11.50,10.50,9.50,8.80
90.00,12.50,11.50,10.60,9.80
95.00,14.00,12.70,11.60,10.70
100.00,15.20,14.00,12.80,11.80
105.00,16.80,15.20,14.00,13.00
110.00,18.50,17.00,15.50,14.20
115.00,20.60,18.80,17.10,15.80
120.00,22.80,20.60,18.90,17.20
