LONGITUD,0DS,1DS,2DS,3DS
65.00,7.40,6.90,6.40,5.90
70.00,8.40,7.90,7.30,6.80
75.00,9.60,8.90,8.20,7.60
80.00,10.50,9.70,9.00,8.40
85.00,11.60,10.80,10.00,9.20
90.00,13.00,12.00,11.00,10.20
95.00,14.00,13.00,12.00,11.00
100.00,15.50,14.20,13.00,12.00
105.00,16.80,15.50,14.30,13.20
110.00,18.50,17.00,15.50,14.50
115.00,20.50,18.50,17.00,15.60
120.00,22.40,20.40,18.60,17.10
